Date, Month Sales (Thousands)
Jan '18,19.77
Feb '18,20.19
Mar '18,205.09
Apr '18,209.91
May '18,211.16
Jun '18,209.25
Jul '18,209.85
Aug '18,205.85
Sep '18,204.15
Oct '18,209.24
Nov '18,213.02
Dec '18,216.66
Jan '19,214.06
Feb '19,175.06
Mar '19,218.85
Apr '19,212.45
May '19,209.62
Jun '19,218.97
Jul '19,224.55
Aug '19,213.6
Sep '19,204.66
Oct '19,206.02
Nov '19,205.45
Dec '19,208.26
Jan '20,202.48
Feb '20,205.8
Mar '20,90.52
Apr '20,19.09
May '20,28.58
Jun '20,66.54
Jul '20,100.51
Aug '20,143.89
Sep '20,133.28
Oct '20,107.13
Nov '20,96.07
Dec '20,77.92
Jan '21,62.92
Feb '21,82.28
Mar '21,94.24
Apr '21,75.81
May '21,75.51
Jun '21,139.14
Jul '21,171.88
Aug '21,196.04
Sep '21,172.06
Oct '21,158.94
Nov '21,176.35
Dec '21,143.64
Jan '22,105.39
Feb '22,144.16
Mar '22,193.61
Apr '22,197.84
May '22,205.9
Jun '22,204.87
Jul '22,207.85
Aug '22,209.82
Sep '22,210.95
Oct '22,212.97
Nov '22,213.45
Dec '22,217.2
Jan '23,222.04
Feb '23,209.85
Mar '23,205.64
Apr '23,197.7
May '23,206.38
Jun '23,207.99
Jul '23,210.92
Aug '23,210.63
