,Name,Address,Reviews
0,Keating Channel Pub and Grill,"2 Villiers St, Toronto, Ontario M5A 1B1 Canada",2023-09-25T00:20:35-04:00
1,Sukhothai,"490 Front St E, Toronto, Ontario M5A 0J1 Canada",2023-06-12T20:29:25-04:00
2,The Aviary,"484A Front St E, Toronto, Ontario M5A 0J1 Canada",2022-08-14T07:22:13-04:00
4,District 28,"28 Logan Ave, Toronto, Ontario M4M 2M8 Canada",2018-02-05T08:21:55-05:00
5,Cherry Street Bar-B-Que,"275 Cherry St, Toronto, Ontario M5A 3L3 Canada",2023-09-03T08:19:17-04:00
6,Vivo Pizza + Pasta,"460 Front St E, Toronto, Ontario M5A 0E6 Canada",2021-11-28T08:48:13-05:00
9,Animal Liberation Kitchen,"100 Broadview Ave #202, Toronto, Ontario M4M 3H3 Canada",2021-12-30T11:30:05-05:00
12,Nomads Restobar,"701 Queen St E, Toronto, Ontario M4M 1G6 Canada",2020-01-23T03:32:18-05:00
13,Jasper Dandy,"725 Queen St E, Toronto, Ontario M4M 1H1 Canada",2020-01-12T08:32:07-05:00
16,Cluny Bistro,"35 Tank House Lane, Toronto, Ontario M5A 3C4 Canada",2023-11-24T05:59:17-05:00
18,Subway Sandwich,"727 Queen St E, Toronto, Ontario M4M 1H1 Canada",2023-11-28T14:01:08-05:00
20,Good Karma,"689 Queen St E, Toronto, Ontario M4M 1G6 Canada",2021-07-18T08:22:23-04:00
21,Est Restaurant,"729 Queen St E, Toronto, Ontario M4M 1H1 Canada",2023-10-22T08:26:53-04:00
22,Slayer Burger Inc,"739 Queen Street East, Toronto, Ontario M4M 1H4 Canada",2023-05-20T19:45:54-04:00
24,Opera House Grill,"737 Queen St E, Toronto, Ontario M4M 1H1 Canada",2023-05-20T11:03:41-04:00
25,Brickworks Ciderhouse,"709 Queen St E, Toronto, Ontario M4M 1H1 Canada",2022-12-30T05:18:13-05:00
26,Lan Restaurant,"755 Queen St E, Toronto, Ontario M4M 1H3 Canada",2019-09-15T05:34:09-04:00
27,Il Ponte,"625 Queen St E, Toronto, Ontario M4M 1G7 Canada",2023-07-09T09:27:15-04:00
